myproc;p;n;time
7;10;1000000;0.8831925392150879
5;10;1000000;0.8942403793334961
6;10;1000000;0.9137008190155029
3;10;1000000;0.9164958000183105
2;10;1000000;0.8947811126708984
4;10;1000000;1.509861946105957
1;10;1000000;1.5099449157714844
8;10;1000000;0.8856737613677979
9;10;1000000;1.5511775016784668
0;10;1000000;1.551933765411377
5;11;1000000;0.7882325649261475
4;11;1000000;0.8372282981872559
6;11;1000000;0.8208329677581787
7;11;1000000;1.3803391456604004
1;11;1000000;1.3878850936889648
10;11;1000000;1.3878827095031738
3;11;1000000;1.4107849597930908
8;11;1000000;0.8026225566864014
9;11;1000000;1.4107704162597656
0;11;1000000;1.496063470840454
2;11;1000000;1.495798110961914
5;12;1000000;0.7277565002441406
7;12;1000000;0.7533533573150635
11;12;1000000;0.7703945636749268
6;12;1000000;1.2898919582366943
1;12;1000000;1.292370319366455
3;12;1000000;1.2923791408538818
2;12;1000000;0.7551875114440918
4;12;1000000;1.3171813488006592
10;12;1000000;1.4171130657196045
9;12;1000000;1.4167718887329102
8;12;1000000;1.316939115524292
0;12;1000000;1.4187471866607666
1;13;1000000;0.6688668727874756
11;13;1000000;0.6705243587493896
6;13;1000000;0.6682271957397461
7;13;1000000;0.679304838180542
12;13;1000000;0.687798261642456
9;13;1000000;0.6881430149078369
8;13;1000000;0.6717686653137207
10;13;1000000;0.6828153133392334
4;13;1000000;0.6936943531036377
5;13;1000000;0.6955459117889404
0;13;1000000;0.7505395412445068
2;13;1000000;0.6703541278839111
3;13;1000000;0.7261438369750977
9;14;1000000;1.0641863346099854
12;14;1000000;0.6150555610656738
13;14;1000000;1.0641670227050781
1;14;1000000;1.0851378440856934
7;14;1000000;1.0857431888580322
6;14;1000000;1.0827462673187256
4;14;1000000;1.0857622623443604
5;14;1000000;1.1082468032836914
2;14;1000000;0.6374139785766602
3;14;1000000;1.1153693199157715
10;14;1000000;1.1066884994506836
11;14;1000000;1.115358591079712
0;14;1000000;1.1156699657440186
8;14;1000000;1.0916156768798828
11;15;1000000;0.6151318550109863
1;15;1000000;1.0261681079864502
14;15;1000000;1.0444767475128174
7;15;1000000;1.0449979305267334
5;15;1000000;1.0476138591766357
12;15;1000000;1.0476205348968506
13;15;1000000;1.073378562927246
3;15;1000000;1.0745911598205566
9;15;1000000;1.0747029781341553
2;15;1000000;1.0792667865753174
8;15;1000000;1.0262298583984375
10;15;1000000;1.0791513919830322
0;15;1000000;1.0873074531555176
4;15;1000000;1.0869512557983398
6;15;1000000;1.0868995189666748
14;16;1000000;0.9204685688018799
15;16;1000000;0.9204740524291992
9;16;1000000;0.9319400787353516
3;16;1000000;0.9318599700927734
5;16;1000000;0.9481017589569092
1;16;1000000;0.9580798149108887
2;16;1000000;0.9491174221038818
6;16;1000000;0.9464442729949951
7;16;1000000;0.9513289928436279
0;16;1000000;0.9776465892791748
4;16;1000000;0.9747624397277832
8;16;1000000;0.9483392238616943
10;16;1000000;0.943495512008667
11;16;1000000;0.958770751953125
12;16;1000000;0.9491114616394043
13;16;1000000;0.9747438430786133
0;1;1000000;8.111984968185425
0;2;1000000;4.192385911941528
1;2;1000000;4.192241668701172
2;3;1000000;2.880866527557373
1;3;1000000;2.914541482925415
0;3;1000000;2.9147019386291504
2;4;1000000;2.128519296646118
3;4;1000000;2.2195730209350586
0;4;1000000;2.223219156265259
1;4;1000000;2.2230405807495117
2;5;1000000;1.7277777194976807
3;5;1000000;1.7418274879455566
4;5;1000000;1.802448034286499
0;5;1000000;1.8278248310089111
1;5;1000000;1.8276479244232178
1;6;1000000;1.5020318031311035
2;6;1000000;1.4431889057159424
3;6;1000000;1.5424046516418457
4;6;1000000;1.4522426128387451
5;6;1000000;1.5838894844055176
0;6;1000000;1.586430311203003
5;7;1000000;1.261047601699829
6;7;1000000;1.2746896743774414
3;7;1000000;1.2812485694885254
4;7;1000000;1.2938599586486816
1;7;1000000;1.3228754997253418
0;7;1000000;1.3343539237976074
2;7;1000000;1.327632188796997
2;8;1000000;1.087167501449585
3;8;1000000;1.1011161804199219
5;8;1000000;1.1199052333831787
7;8;1000000;1.125335693359375
4;8;1000000;1.1009063720703125
6;8;1000000;1.0932374000549316
0;8;1000000;1.1456611156463623
1;8;1000000;1.145493745803833
1;9;1000000;0.9681470394134521
8;9;1000000;0.9889185428619385
3;9;1000000;0.9917049407958984
5;9;1000000;0.9949667453765869
2;9;1000000;0.997826099395752
0;9;1000000;1.6769087314605713
4;9;1000000;0.9931020736694336
6;9;1000000;1.0008795261383057
7;9;1000000;1.6766533851623535
9;10;100000;0.08966684341430664
7;10;100000;0.0908055305480957
3;10;100000;0.09131908416748047
5;10;100000;0.09185457229614258
2;10;100000;0.09250211715698242
1;10;100000;0.1544637680053711
8;10;100000;0.15446043014526367
0;10;100000;0.15709161758422852
4;10;100000;0.08994722366333008
6;10;100000;0.15685009956359863
10;11;100000;0.0821537971496582
3;11;100000;0.08328032493591309
5;11;100000;0.08541202545166016
4;11;100000;0.0833289623260498
6;11;100000;0.08052515983581543
7;11;100000;0.13701105117797852
1;11;100000;0.1394636631011963
0;11;100000;0.14331531524658203
2;11;100000;0.14303231239318848
8;11;100000;0.13946747779846191
9;11;100000;0.14304089546203613
3;12;100000;0.07685542106628418
7;12;100000;0.07768726348876953
2;12;100000;0.07788419723510742
6;12;100000;0.07818913459777832
1;12;100000;0.12990117073059082
5;12;100000;0.1314561367034912
9;12;100000;0.13211631774902344
4;12;100000;0.13723421096801758
10;12;100000;0.12984418869018555
11;12;100000;0.13719415664672852
0;12;100000;0.13754940032958984
8;12;100000;0.13141226768493652
6;13;100000;0.06758499145507812
7;13;100000;0.06854414939880371
11;13;100000;0.06907415390014648
12;13;100000;0.11330771446228027
3;13;100000;0.11622500419616699
5;13;100000;0.1161797046661377
4;13;100000;0.11332058906555176
1;13;100000;0.11970639228820801
9;13;100000;0.11968445777893066
2;13;100000;0.12011933326721191
10;13;100000;0.12006831169128418
0;13;100000;0.12035894393920898
8;13;100000;0.11564350128173828
9;14;100000;0.10578775405883789
7;14;100000;0.1072237491607666
3;14;100000;0.10934638977050781
10;14;100000;0.06256580352783203
11;14;100000;0.10930204391479492
2;14;100000;0.1057889461517334
5;14;100000;0.10996198654174805
13;14;100000;0.10994863510131836
12;14;100000;0.11002326011657715
6;14;100000;0.11003255844116211
4;14;100000;0.06868720054626465
0;14;100000;0.11261796951293945
1;14;100000;0.11229252815246582
8;14;100000;0.11229443550109863
9;15;100000;0.05886030197143555
10;15;100000;0.05914926528930664
11;15;100000;0.05841565132141113
14;15;100000;0.05869698524475098
1;15;100000;0.05946063995361328
5;15;100000;0.0599827766418457
8;15;100000;0.058349609375
12;15;100000;0.059317588806152344
13;15;100000;0.060132741928100586
4;15;100000;0.059543609619140625
6;15;100000;0.05915069580078125
7;15;100000;0.06050419807434082
0;15;100000;0.0697484016418457
2;15;100000;0.060904502868652344
3;15;100000;0.06100630760192871
5;16;100000;0.09374403953552246
15;16;100000;0.09374022483825684
1;16;100000;0.09418439865112305
10;16;100000;0.09543395042419434
11;16;100000;0.09540152549743652
14;16;100000;0.09572148323059082
6;16;100000;0.09595251083374023
7;16;100000;0.09643721580505371
12;16;100000;0.09586954116821289
13;16;100000;0.09647393226623535
2;16;100000;0.09419560432434082
3;16;100000;0.0984337329864502
4;16;100000;0.09840869903564453
0;16;100000;0.10676908493041992
8;16;100000;0.09647846221923828
9;16;100000;0.09467959403991699
0;1;100000;0.7711954116821289
0;2;100000;0.4172089099884033
1;2;100000;0.41707324981689453
1;3;100000;0.28763294219970703
2;3;100000;0.2936069965362549
0;3;100000;0.29375243186950684
1;4;100000;0.2178511619567871
0;4;100000;0.228546142578125
2;4;100000;0.21971940994262695
3;4;100000;0.22327446937561035
2;5;100000;0.17662930488586426
3;5;100000;0.1749858856201172
1;5;100000;0.17817974090576172
4;5;100000;0.17817425727844238
0;5;100000;0.18081951141357422
4;6;100000;0.14553546905517578
5;6;100000;0.15040826797485352
1;6;100000;0.1530017852783203
2;6;100000;0.14780926704406738
3;6;100000;0.15133905410766602
0;6;100000;0.15728545188903809
5;7;100000;0.12760257720947266
6;7;100000;0.1288151741027832
2;7;100000;0.1270275115966797
3;7;100000;0.1314687728881836
4;7;100000;0.13200879096984863
0;7;100000;0.1400442123413086
1;7;100000;0.13982748985290527
1;8;100000;0.1077110767364502
2;8;100000;0.11115002632141113
3;8;100000;0.11154055595397949
7;8;100000;0.1102132797241211
6;8;100000;0.11240792274475098
