myproc;p;n;time
0;1;1000000;8.096450090408325
1;2;1000000;5.276153326034546
0;2;1000000;5.360546350479126
2;3;1000000;2.8801984786987305
0;3;1000000;2.9041919708251953
1;3;1000000;2.9040355682373047
3;4;1000000;2.0474724769592285
1;4;1000000;2.1495466232299805
2;4;1000000;2.2671680450439453
0;4;1000000;2.26731014251709
4;5;1000000;1.8390486240386963
1;5;1000000;1.8498003482818604
0;5;1000000;1.9597461223602295
2;5;1000000;1.95467209815979
3;5;1000000;1.9595756530761719
3;6;1000000;1.5325088500976562
1;6;1000000;1.5455830097198486
5;6;1000000;1.581146240234375
4;6;1000000;1.5259490013122559
0;6;1000000;1.5926198959350586
2;6;1000000;1.5924265384674072
6;7;1000000;1.2782371044158936
1;7;1000000;1.3432443141937256
4;7;1000000;1.2957911491394043
5;7;1000000;1.343203067779541
0;7;1000000;1.4009685516357422
2;7;1000000;1.2971930503845215
3;7;1000000;1.4007525444030762
0;1;100000;0.8404302597045898
1;2;100000;0.3911266326904297
0;2;100000;0.40866661071777344
2;3;100000;0.2928769588470459
0;3;100000;0.3012735843658447
1;3;100000;0.30111122131347656
1;4;100000;0.2332935333251953
0;4;100000;0.2422797679901123
2;4;100000;0.22853875160217285
3;4;100000;0.23493123054504395
1;5;100000;0.17081618309020996
4;5;100000;0.174729585647583
0;5;100000;0.18877124786376953
2;5;100000;0.17589831352233887
3;5;100000;0.18856596946716309
1;6;100000;0.18182086944580078
2;6;100000;0.17545580863952637
3;6;100000;0.17841887474060059
0;6;100000;0.20008492469787598
4;6;100000;0.17822718620300293
5;6;100000;0.1789531707763672
1;7;100000;0.1280663013458252
6;7;100000;0.13342857360839844
4;7;100000;0.13218140602111816
5;7;100000;0.13918042182922363
0;7;100000;0.1413407325744629
2;7;100000;0.1312108039855957
3;7;100000;0.14110684394836426
0;1;10000;0.10442805290222168
1;2;10000;0.0425567626953125
0;2;10000;0.0443570613861084
1;3;10000;0.030869722366333008
0;3;10000;0.03148603439331055
2;3;10000;0.031340837478637695
1;4;10000;0.021986722946166992
3;4;10000;0.022131681442260742
0;4;10000;0.027146577835083008
2;4;10000;0.02271294593811035
3;5;10000;0.017832040786743164
2;5;10000;0.017894744873046875
1;5;10000;0.01830887794494629
4;5;10000;0.018691301345825195
0;5;10000;0.019985675811767578
5;6;10000;0.015530824661254883
3;6;10000;0.015613079071044922
1;6;10000;0.015829801559448242
2;6;10000;0.015931367874145508
0;6;10000;0.0163116455078125
4;6;10000;0.016160011291503906
3;7;10000;0.01351618766784668
1;7;10000;0.013890981674194336
2;7;10000;0.014219045639038086
6;7;10000;0.013477802276611328
5;7;10000;0.013761758804321289
4;7;10000;0.013831615447998047
0;7;10000;0.02887725830078125
0;1;1000;0.008945465087890625
0;2;1000;0.009284496307373047
1;2;1000;0.0044708251953125
2;3;1000;0.0032062530517578125
1;3;1000;0.0033867359161376953
0;3;1000;0.0035331249237060547
2;4;1000;0.0024261474609375
3;4;1000;0.002427339553833008
0;4;1000;0.0026547908782958984
1;4;1000;0.0024933815002441406
1;5;1000;0.0019690990447998047
4;5;1000;0.001970529556274414
3;5;1000;0.0020253658294677734
0;5;1000;0.0022192001342773438
2;5;1000;0.0020623207092285156
1;6;1000;0.001638174057006836
4;6;1000;0.0016467571258544922
5;6;1000;0.0016033649444580078
0;6;1000;0.00185394287109375
2;6;1000;0.0016219615936279297
3;6;1000;0.0016520023345947266
1;7;1000;0.001337289810180664
6;7;1000;0.0014219284057617188
2;7;1000;0.0014500617980957031
3;7;1000;0.0014622211456298828
0;7;1000;0.006405830383300781
4;7;1000;0.001390695571899414
5;7;1000;0.0014150142669677734
0;1;1000000;8.06113600730896
0;2;1000000;5.314164161682129
1;2;1000000;5.313999176025391
2;3;1000000;2.9622085094451904
1;3;1000000;3.230776786804199
0;3;1000000;3.2309539318084717
1;4;1000000;2.1226818561553955
3;4;1000000;2.170008420944214
2;4;1000000;2.0899343490600586
0;4;1000000;2.191436529159546
1;5;1000000;1.6674201488494873
4;5;1000000;1.7235682010650635
0;5;1000000;1.8121793270111084
2;5;1000000;1.69869065284729
3;5;1000000;1.8119781017303467
4;6;1000000;1.5009236335754395
5;6;1000000;1.5351178646087646
1;6;1000000;1.536959171295166
3;6;1000000;1.5605547428131104
2;6;1000000;1.5413055419921875
0;6;1000000;1.6683824062347412
1;7;1000000;1.3202250003814697
5;7;1000000;1.3304259777069092
4;7;1000000;1.2940928936004639
6;7;1000000;1.3580684661865234
2;7;1000000;1.3017804622650146
3;7;1000000;1.376145601272583
0;7;1000000;1.376356840133667
0;1;100000;0.799605131149292
0;2;100000;0.41021084785461426
1;2;100000;0.409883975982666
2;3;100000;0.2924320697784424
1;3;100000;0.3063943386077881
0;3;100000;0.30658578872680664
3;4;100000;0.22484302520751953
2;4;100000;0.22985219955444336
0;4;100000;0.2303760051727295
1;4;100000;0.22948002815246582
1;5;100000;0.18302464485168457
4;5;100000;0.18953967094421387
2;5;100000;0.18967008590698242
3;5;100000;0.19137954711914062
0;5;100000;0.19156217575073242
1;6;100000;0.17145037651062012
3;6;100000;0.17542243003845215
2;6;100000;0.17772984504699707
5;6;100000;0.1782362461090088
0;6;100000;0.18664050102233887
4;6;100000;0.18642115592956543
6;7;100000;0.13321590423583984
4;7;100000;0.13330650329589844
5;7;100000;0.1335759162902832
1;7;100000;0.13554835319519043
0;7;100000;0.13695764541625977
2;7;100000;0.13122892379760742
3;7;100000;0.13501191139221191
0;1;10000;0.10804486274719238
0;2;10000;0.04365348815917969
1;2;10000;0.0435183048248291
2;3;10000;0.03128790855407715
1;3;10000;0.03237271308898926
0;3;10000;0.03251290321350098
1;4;10000;0.021304845809936523
0;4;10000;0.02177572250366211
2;4;10000;0.021483898162841797
3;4;10000;0.02162027359008789
1;5;10000;0.01851344108581543
3;5;10000;0.0187532901763916
4;5;10000;0.0187985897064209
2;5;10000;0.019164323806762695
0;5;10000;0.0193173885345459
4;6;10000;0.015891313552856445
5;6;10000;0.01587653160095215
1;6;10000;0.015932559967041016
0;6;10000;0.020731210708618164
2;6;10000;0.01588273048400879
3;6;10000;0.016685009002685547
1;7;10000;0.013669490814208984
5;7;10000;0.013768434524536133
6;7;10000;0.013929367065429688
4;7;10000;0.013989686965942383
2;7;10000;0.013539552688598633
3;7;10000;0.01339578628540039
0;7;10000;0.015132427215576172
0;1;1000;0.009093761444091797
1;2;1000;0.004637718200683594
0;2;1000;0.004824399948120117
2;3;1000;0.003071308135986328
1;3;1000;0.003394603729248047
0;3;1000;0.0036389827728271484
2;4;1000;0.0025284290313720703
3;4;1000;0.0025141239166259766
1;4;1000;0.0025434494018554688
0;4;1000;0.003880739212036133
0;5;1000;0.0021123886108398438
1;5;1000;0.0019202232360839844
2;5;1000;0.0018758773803710938
3;5;1000;0.0019488334655761719
4;5;1000;0.0019321441650390625
1;6;1000;0.0016264915466308594
5;6;1000;0.0015964508056640625
0;6;1000;0.0018749237060546875
2;6;1000;0.0016751289367675781
3;6;1000;0.0016658306121826172
4;6;1000;0.0017027854919433594
1;7;1000;0.001375436782836914
5;7;1000;0.0013844966888427734
2;7;1000;0.0013728141784667969
3;7;1000;0.0013954639434814453
0;7;1000;0.005106449127197266
4;7;1000;0.0014023780822753906
6;7;1000;0.0014491081237792969
0;1;1000000;7.975629091262817
0;2;1000000;5.411495923995972
1;2;1000000;5.411332368850708
2;3;1000000;2.8730416297912598
1;3;1000000;2.94284725189209
0;3;1000000;2.9429965019226074
3;4;1000000;2.0684399604797363
2;4;1000000;2.1164848804473877
0;4;1000000;2.1289262771606445
1;4;1000000;2.1285054683685303
4;5;1000000;1.6516039371490479
1;5;1000000;1.6551191806793213
0;5;1000000;1.7026619911193848
2;5;1000000;1.6649024486541748
3;5;1000000;1.702477216720581
2;6;1000000;1.532097339630127
3;6;1000000;1.5486211776733398
5;6;1000000;1.5500826835632324
4;6;1000000;1.5609982013702393
1;6;1000000;1.5726723670959473
0;6;1000000;1.572876214981079
3;7;1000000;1.3267624378204346
2;7;1000000;1.3294076919555664
5;7;1000000;1.3577702045440674
4;7;1000000;1.3641750812530518
6;7;1000000;1.3667643070220947
0;7;1000000;1.4176685810089111
1;7;1000000;1.41746187210083
0;1;100000;0.7919631004333496
0;2;100000;0.4295315742492676
1;2;100000;0.4262690544128418
2;3;100000;0.2943248748779297
1;3;100000;0.29857730865478516
0;3;100000;0.2992382049560547
1;4;100000;0.222853422164917
3;4;100000;0.22481918334960938
0;4;100000;0.22970223426818848
2;4;100000;0.22955036163330078
1;5;100000;0.1873157024383545
2;5;100000;0.18477869033813477
3;5;100000;0.18950796127319336
0;5;100000;0.19108343124389648
4;5;100000;0.1882002353668213
1;6;100000;0.1746044158935547
3;6;100000;0.17668676376342773
2;6;100000;0.18033981323242188
0;6;100000;0.18426012992858887
4;6;100000;0.17754483222961426
5;6;100000;0.18404126167297363
2;7;100000;0.12816905975341797
3;7;100000;0.13293004035949707
5;7;100000;0.13521361351013184
6;7;100000;0.1368563175201416
1;7;100000;0.14084243774414062
0;7;100000;0.14251327514648438
4;7;100000;0.14229941368103027
0;1;10000;0.10544180870056152
0;2;10000;0.04358196258544922
1;2;10000;0.04344677925109863
1;3;10000;0.029387712478637695
0;3;10000;0.03600621223449707
2;3;10000;0.0307159423828125
1;4;10000;0.021288156509399414
0;4;10000;0.02350926399230957
2;4;10000;0.02088618278503418
3;4;10000;0.023334264755249023
3;5;10000;0.01832103729248047
1;5;10000;0.01839733123779297
2;5;10000;0.018574953079223633
4;5;10000;0.018931150436401367
0;5;10000;0.019257307052612305
1;6;10000;0.015276908874511719
5;6;10000;0.015705347061157227
4;6;10000;0.01639270782470703
3;6;10000;0.015662431716918945
2;6;10000;0.01616382598876953
0;6;10000;0.021645784378051758
3;7;10000;0.01344609260559082
2;7;10000;0.01372075080871582
5;7;10000;0.013938188552856445
1;7;10000;0.014508485794067383
6;7;10000;0.013639688491821289
0;7;10000;0.015372753143310547
4;7;10000;0.01328730583190918
0;1;1000;0.008413314819335938
0;2;1000;0.004612445831298828
1;2;1000;0.004479885101318359
1;3;1000;0.0029191970825195312
2;3;1000;0.0028846263885498047
0;3;1000;0.003105640411376953
1;4;1000;0.0023665428161621094
3;4;1000;0.0023736953735351562
0;4;1000;0.002549409866333008
2;4;1000;0.0024063587188720703
3;5;1000;0.0019078254699707031
2;5;1000;0.002001523971557617
1;5;1000;0.0020308494567871094
0;5;1000;0.007617473602294922
4;5;1000;0.0020627975463867188
1;6;1000;0.0015740394592285156
3;6;1000;0.001661062240600586
4;6;1000;0.0015978813171386719
5;6;1000;0.0016753673553466797
0;6;1000;0.0018744468688964844
2;6;1000;0.0017275810241699219
1;7;1000;0.0013892650604248047
6;7;1000;0.0014162063598632812
0;7;1000;0.001678466796875
2;7;1000;0.0015096664428710938
3;7;1000;0.001435995101928711
4;7;1000;0.0014598369598388672
5;7;1000;0.00147247314453125
0;1;1000000;8.053269863128662
0;2;1000000;5.241006135940552
1;2;1000000;5.240832567214966
