n;p;time
30;2;0.027231693267822266
60;2;0.17691469192504883
80;2;0.4077324867248535
30;3;0.014168739318847656
60;3;0.09567952156066895
80;3;0.22836995124816895
30;4;0.01027679443359375
60;4;0.08116388320922852
80;4;0.14644598960876465
30;5;0.007571220397949219
60;5;0.05368995666503906
80;5;0.1201927661895752
30;6;0.0065097808837890625
60;6;0.04569387435913086
80;6;0.09783673286437988
30;7;0.010416030883789062
60;7;0.03812670707702637
80;7;0.09056782722473145
30;8;0.005237102508544922
60;8;0.03076028823852539
80;8;0.07271552085876465
30;9;0.006882667541503906
60;9;0.07660317420959473
80;9;0.1323225498199463
30;10;0.008063793182373047
60;10;0.055127620697021484
80;10;0.09911775588989258
30;11;0.00789499282836914
60;11;0.04938793182373047
80;11;0.10477042198181152
30;12;0.0058002471923828125
60;12;0.045179128646850586
80;12;0.11152362823486328
30;13;0.00525355339050293
60;13;0.04239702224731445
80;13;0.09439492225646973
30;14;0.007014751434326172
60;14;0.03871464729309082
80;14;0.08833146095275879
30;15;0.007177829742431641
60;15;0.035311222076416016
80;15;0.0716552734375
30;2;0.025202035903930664
60;2;0.1846146583557129
80;2;0.4314861297607422
30;3;0.012532949447631836
60;3;0.10775947570800781
80;3;0.2258892059326172
30;4;0.010020732879638672
60;4;0.07072567939758301
80;4;0.1520543098449707
30;5;0.007008552551269531
60;5;0.05026435852050781
80;5;0.12061691284179688
30;6;0.006857156753540039
60;6;0.04409217834472656
80;6;0.10579609870910645
30;7;0.006476163864135742
60;7;0.03789401054382324
80;7;0.09324169158935547
30;8;0.004946231842041016
60;8;0.0301663875579834
80;8;0.0744781494140625
30;9;0.006766080856323242
60;9;0.07658839225769043
80;9;0.1386091709136963
30;10;0.008507013320922852
60;10;0.05594134330749512
80;10;0.10484910011291504
30;11;0.007721900939941406
60;11;0.04860854148864746
80;11;0.10602474212646484
30;12;0.005811929702758789
60;12;0.04574751853942871
80;12;0.10646295547485352
30;13;0.005942821502685547
60;13;0.04078340530395508
80;13;0.09239816665649414
30;14;0.006818532943725586
60;14;0.03852224349975586
80;14;0.09097099304199219
30;15;0.007163286209106445
60;15;0.03351187705993652
80;15;0.07263875007629395
30;2;0.023347854614257812
60;2;0.19623780250549316
80;2;0.37864232063293457
30;3;0.013463735580444336
60;3;0.0996401309967041
80;3;0.23873400688171387
30;4;0.010597944259643555
60;4;0.07219409942626953
80;4;0.1574099063873291
30;5;0.007601022720336914
60;5;0.05252480506896973
80;5;0.12351131439208984
30;6;0.006820201873779297
60;6;0.040743112564086914
80;6;0.09996342658996582
30;7;0.005753278732299805
60;7;0.036763906478881836
80;7;0.09928274154663086
30;8;0.005230903625488281
60;8;0.03070068359375
80;8;0.07215094566345215
30;9;0.006610870361328125
60;9;0.07387709617614746
80;9;0.1255953311920166
30;10;0.008700132369995117
60;10;0.0540614128112793
80;10;0.10865211486816406
30;11;0.0072231292724609375
60;11;0.04814553260803223
80;11;0.10488033294677734
30;12;0.005522251129150391
60;12;0.0450291633605957
80;12;0.10560441017150879
30;13;0.005189418792724609
60;13;0.041313886642456055
80;13;0.09545373916625977
30;14;0.006699562072753906
60;14;0.03874564170837402
80;14;0.08774447441101074
30;15;0.0064699649810791016
60;15;0.033849239349365234
80;15;0.07015800476074219
30;2;0.024216890335083008
60;2;0.1914503574371338
80;2;0.38056492805480957
30;3;0.012953758239746094
60;3;0.10095882415771484
80;3;0.20906829833984375
30;4;0.010057210922241211
60;4;0.06801843643188477
80;4;0.15652990341186523
30;5;0.007741689682006836
60;5;0.048552751541137695
80;5;0.12360453605651855
30;6;0.006674289703369141
60;6;0.0435178279876709
80;6;0.10011434555053711
30;7;0.005995988845825195
60;7;0.03636646270751953
80;7;0.12127566337585449
30;8;0.0049631595611572266
60;8;0.03115224838256836
80;8;0.0976865291595459
30;9;0.0068836212158203125
60;9;0.07665443420410156
80;9;0.1399540901184082
30;10;0.008514404296875
