n;p;time
1000000;2;0.05224251747131348
5000000;2;0.29354119300842285
10000000;2;0.5217924118041992
50000000;2;2.440995931625366
100000000;2;6.165948390960693
1000000;3;0.03815937042236328
5000000;3;0.19900059700012207
10000000;3;0.36441588401794434
50000000;3;1.8140392303466797
100000000;3;5.681018352508545
1000000;4;0.033416748046875
5000000;4;0.196319580078125
10000000;4;0.29132843017578125
50000000;4;1.4993650913238525
100000000;4;2.8494129180908203
1000000;5;0.02275371551513672
5000000;5;0.11558771133422852
10000000;5;0.288616418838501
50000000;5;1.137047529220581
100000000;5;2.404294013977051
1000000;6;0.02685999870300293
5000000;6;0.12426137924194336
10000000;6;0.5204293727874756
50000000;6;1.1030573844909668
100000000;6;2.212946653366089
1000000;7;0.03853964805603027
5000000;7;0.11549592018127441
10000000;7;0.20874977111816406
50000000;7;0.8183538913726807
100000000;7;1.7073097229003906
1000000;8;0.014885425567626953
5000000;8;0.08550500869750977
10000000;8;0.19547080993652344
50000000;8;0.8056149482727051
100000000;8;2.077389717102051
1000000;9;0.07450318336486816
5000000;9;0.32048654556274414
10000000;9;0.7391459941864014
50000000;9;3.153319835662842
100000000;9;7.621149063110352
1000000;10;0.025582313537597656
5000000;10;0.29461026191711426
10000000;10;0.214385986328125
50000000;10;1.1822428703308105
100000000;10;5.685801029205322
1000000;11;0.021264076232910156
5000000;11;0.1089775562286377
10000000;11;0.5646333694458008
50000000;11;2.812540292739868
100000000;11;5.334656238555908
1000000;12;0.03270220756530762
5000000;12;0.06319022178649902
10000000;12;0.20635986328125
50000000;12;1.0027000904083252
100000000;12;1.758795976638794
1000000;13;0.051885128021240234
5000000;13;0.25633907318115234
10000000;13;0.16517233848571777
50000000;13;0.8179051876068115
100000000;13;2.1724867820739746
1000000;14;0.018163681030273438
5000000;14;0.09874439239501953
10000000;14;0.4410400390625
50000000;14;0.8149383068084717
100000000;14;1.633620262145996
1000000;15;0.018245935440063477
5000000;15;0.06452035903930664
10000000;15;0.17401933670043945
50000000;15;0.8181791305541992
100000000;15;1.8101744651794434
1000000;2;0.052725791931152344
5000000;2;0.2625100612640381
10000000;2;0.49361348152160645
50000000;2;2.4452714920043945
100000000;2;5.200080394744873
1000000;3;0.03695797920227051
5000000;3;0.17744040489196777
10000000;3;0.40402770042419434
50000000;3;2.19170880317688
100000000;3;3.6636838912963867
1000000;4;0.030423879623413086
5000000;4;0.16060876846313477
10000000;4;0.34456539154052734
50000000;4;1.383437156677246
100000000;4;2.592766761779785
1000000;5;0.033943891525268555
5000000;5;0.13834738731384277
10000000;5;0.3131399154663086
50000000;5;1.2919514179229736
100000000;5;2.433537006378174
1000000;6;0.021725893020629883
5000000;6;0.09444594383239746
10000000;6;0.6655013561248779
50000000;6;1.0312402248382568
100000000;6;2.4699532985687256
1000000;7;0.024013042449951172
5000000;7;0.0868368148803711
10000000;7;0.16333985328674316
50000000;7;0.8113963603973389
100000000;7;1.674609899520874
1000000;8;0.018376588821411133
5000000;8;0.0809321403503418
10000000;8;0.20231199264526367
50000000;8;0.984912633895874
100000000;8;1.8681566715240479
1000000;9;0.030905723571777344
5000000;9;0.15272927284240723
10000000;9;0.7022600173950195
50000000;9;3.1066155433654785
100000000;9;2.717336893081665
1000000;10;0.0212249755859375
5000000;10;0.2024827003479004
10000000;10;0.21216607093811035
50000000;10;1.0897843837738037
100000000;10;2.119593620300293
1000000;11;0.021517038345336914
5000000;11;0.13355398178100586
10000000;11;0.26609015464782715
50000000;11;2.5928471088409424
100000000;11;2.160658597946167
1000000;12;0.019843339920043945
5000000;12;0.09100866317749023
10000000;12;0.12095260620117188
50000000;12;1.1387009620666504
100000000;12;2.1783764362335205
1000000;13;0.021243572235107422
5000000;13;0.10840010643005371
10000000;13;0.1857612133026123
50000000;13;0.8097691535949707
100000000;13;2.0017127990722656
1000000;14;0.018828153610229492
5000000;14;0.08624863624572754
10000000;14;0.4205458164215088
50000000;14;0.8254172801971436
100000000;14;1.5915565490722656
1000000;15;0.01893758773803711
5000000;15;0.07077217102050781
